codigo_manzana,total_pob,cuenta_1,cuenta_2,cuenta_3,cuenta_4,cuenta_5,cuenta_6,cuenta_7,cuenta_8,cuenta_9,cuenta_10,cuenta_11,cuenta_12,cuenta_13,cuenta_14,cuenta_15,cuenta_16,cuenta_17,cuenta_18,cuenta_19,cuenta_20,cuenta_21,cantidad_casas,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000610000000000020203,80,3.0,6.0,3.0,7.0,6.0,10.0,5.0,6.0,3.0,4.0,6.0,6.0,6.0,1.0,1.0,2.0,3.0,2.0,,,,33,4.0,2.9,0.48,0.94
5000610000000000020204,24,3.0,1.0,1.0,,,5.0,4.0,1.0,1.0,,2.0,2.0,2.0,,,1.0,1.0,,,,,9,5.0,2.6,0.44,0.89
5000610000000000020205,90,7.0,6.0,6.0,9.0,5.0,7.0,7.0,5.0,5.0,9.0,4.0,6.0,8.0,2.0,1.0,2.0,,1.0,,,,28,4.0,2.9,0.43,0.96
5000610000000000020206,71,2.0,8.0,7.0,7.0,4.0,6.0,3.0,2.0,5.0,5.0,5.0,1.0,7.0,4.0,3.0,1.0,1.0,,,,,28,4.0,2.8,0.46,0.82
5000610000000000020210,102,1.0,13.0,7.0,6.0,7.0,4.0,10.0,16.0,4.0,4.0,5.0,6.0,4.0,6.0,4.0,3.0,2.0,,,,,31,4.0,2.1,0.61,0.97
5000610000000000020211,75,7.0,6.0,6.0,3.0,3.0,3.0,3.0,6.0,8.0,3.0,6.0,4.0,3.0,2.0,5.0,4.0,,2.0,1.0,,,34,4.0,2.9,0.35,0.82
5000610000000000020212,120,5.0,9.0,14.0,9.0,16.0,8.0,6.0,10.0,10.0,6.0,5.0,7.0,4.0,2.0,3.0,1.0,4.0,,1.0,,,38,4.0,2.9,0.45,0.97
5000610000000000020213,65,1.0,4.0,7.0,4.0,5.0,4.0,1.0,6.0,6.0,3.0,12.0,2.0,5.0,2.0,1.0,1.0,,1.0,,,,27,4.0,3.0,0.48,0.93
5000610000000000020214,80,3.0,9.0,4.0,5.0,6.0,6.0,3.0,6.0,4.0,3.0,4.0,2.0,7.0,7.0,3.0,4.0,2.0,2.0,,,,27,4.0,3.0,0.41,0.89
5000610000000000020216,84,4.0,7.0,4.0,12.0,6.0,6.0,2.0,5.0,3.0,9.0,11.0,4.0,1.0,3.0,3.0,1.0,1.0,,1.0,1.0,,31,4.0,2.6,0.32,0.81
5000610000000000020217,28,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,,1.0,5.0,2.0,3.0,,,,,10,3.0,2.8,0.3,0.9
5000610000000000020218,109,3.0,8.0,7.0,16.0,7.0,12.0,6.0,12.0,6.0,10.0,3.0,5.0,5.0,6.0,2.0,,,,1.0,,,43,4.0,2.1,0.28,0.77
5000610000000000020219,64,2.0,7.0,6.0,4.0,7.0,4.0,2.0,6.0,4.0,2.0,5.0,2.0,4.0,3.0,1.0,4.0,,,1.0,,,32,4.0,2.0,0.09,0.88
5000610000000000020220,82,6.0,6.0,4.0,9.0,10.0,5.0,9.0,4.0,4.0,4.0,8.0,2.0,2.0,4.0,2.0,2.0,,1.0,,,,34,4.0,2.0,0.12,0.97
5000610000000000020302,101,3.0,7.0,9.0,7.0,14.0,5.0,3.0,9.0,6.0,3.0,11.0,10.0,4.0,5.0,2.0,2.0,1.0,,,,,40,4.0,2.8,0.33,0.85
5000610000000000020303,84,6.0,4.0,6.0,3.0,5.0,6.0,7.0,10.0,2.0,6.0,9.0,5.0,6.0,2.0,4.0,1.0,,2.0,,,,36,5.0,2.9,0.44,0.92
5000610000000000020304,96,4.0,8.0,8.0,9.0,12.0,7.0,5.0,4.0,10.0,10.0,5.0,3.0,4.0,2.0,5.0,,,,,,,34,4.0,3.0,0.44,0.88
5000610000000000020305,103,6.0,8.0,3.0,4.0,8.0,12.0,8.0,9.0,8.0,8.0,3.0,2.0,5.0,7.0,3.0,7.0,1.0,1.0,,,,41,4.0,2.9,0.2,0.88
5000610000000000020310,31,4.0,2.0,1.0,3.0,5.0,3.0,4.0,1.0,1.0,,3.0,1.0,1.0,,1.0,1.0,,,,,,10,6.0,2.3,0.6,0.7
5000610000000000020311,47,1.0,3.0,4.0,2.0,6.0,6.0,3.0,7.0,2.0,2.0,7.0,2.0,1.0,1.0,,,,,,,,23,6.0,3.1,0.52,0.74
5000610000000000020312,67,1.0,5.0,4.0,4.0,5.0,5.0,4.0,8.0,4.0,4.0,3.0,6.0,5.0,2.0,2.0,3.0,1.0,1.0,,,,28,5.0,3.0,0.57,0.79
5000610000000000020313,64,6.0,7.0,1.0,7.0,6.0,10.0,8.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,,,,1.0,,,,24,5.0,3.0,0.58,0.92
5000610000000000020314,60,5.0,2.0,4.0,2.0,7.0,10.0,3.0,2.0,6.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,,,,,,23,5.0,2.9,0.43,1.0
5000610000000000020315,68,4.0,3.0,9.0,,7.0,4.0,4.0,5.0,7.0,7.0,2.0,2.0,2.0,4.0,4.0,2.0,,2.0,,,,23,4.0,2.5,0.39,1.0
5000610000000000020319,37,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,12,4.0,2.2,0.42,1.0
5000610000000000020401,49,4.0,1.0,4.0,3.0,6.0,2.0,6.0,4.0,1.0,3.0,,1.0,5.0,1.0,3.0,2.0,1.0,2.0,,,,23,3.0,2.1,0.35,0.74
5000610000000000020402,65,4.0,6.0,8.0,5.0,1.0,5.0,7.0,7.0,1.0,2.0,7.0,6.0,4.0,,,,1.0,1.0,,,,29,3.0,2.0,0.17,0.83
5000610000000000020403,58,2.0,5.0,2.0,6.0,9.0,1.0,4.0,2.0,6.0,10.0,2.0,4.0,2.0,1.0,,,2.0,,,,,21,4.0,2.1,0.29,0.81
5000610000000000020407,114,8.0,10.0,10.0,11.0,6.0,8.0,7.0,7.0,2.0,13.0,8.0,5.0,1.0,7.0,5.0,2.0,1.0,2.0,1.0,,,37,3.0,2.0,0.46,0.95
5000610000000000020409,81,6.0,6.0,4.0,11.0,7.0,4.0,9.0,6.0,3.0,8.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0,,,,,35,4.0,1.9,0.34,0.77
5000610000000000020412,55,7.0,1.0,8.0,2.0,2.0,3.0,6.0,2.0,7.0,5.0,3.0,4.0,2.0,,2.0,1.0,,,,,,24,4.0,2.1,0.63,0.79
